realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-10-04 08:30:32.406,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:33.438,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:34.471,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:35.502,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:36.535,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:37.566,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:38.598,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:39.631,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:40.663,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:41.694,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:42.726,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:43.759,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:44.791,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:45.822,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:46.854,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:47.887,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:48.919,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:49.950,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:50.982,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:52.015,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:53.047,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:54.090,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:55.110,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:56.143,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:57.175,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:58.207,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:30:59.238,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:00.271,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:01.303,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:02.335,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:03.366,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:04.398,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:05.431,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:06.463,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:07.494,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:08.526,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:09.559,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:10.591,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:11.622,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:12.654,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:13.687,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:14.719,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:15.750,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:16.782,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:17.815,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:18.847,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:19.878,NR,0,0,0,0,0,0,0,0,0
2022-10-04 08:31:20.910,NR,0,0,0,0,0,0,0,0,0
