realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-07-14 16:22:23.000,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:23.521,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:24.041,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:24.561,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:25.081,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:25.600,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:26.121,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:26.641,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:27.161,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:27.681,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:28.200,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:28.721,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:29.241,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:29.760,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:30.281,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:30.801,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:31.321,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:31.841,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:32.360,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:32.881,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:33.401,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:33.921,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:34.441,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:34.960,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:35.481,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:36.001,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:36.520,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:37.041,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:37.561,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:38.081,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:38.601,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:39.120,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:39.641,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:40.161,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:40.681,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:41.201,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:41.720,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:42.241,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:42.761,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:43.281,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:43.801,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:44.320,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:44.841,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:45.361,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:45.880,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:46.401,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:46.921,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:47.441,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:47.961,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:48.480,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:49.001,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:49.521,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:50.041,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:50.561,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:51.080,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:51.601,NR,0,0,0,0,0,0,0,0,0
2022-07-14 16:22:52.121,NR,0,0,0,0,0,0,0,0,0
