realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-24 14:01:22.103,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:22.623,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:23.151,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:23.662,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:24.183,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:24.702,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:25.223,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:25.743,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:26.262,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:26.783,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:27.303,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:27.823,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:28.343,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:28.862,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:29.383,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:29.903,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:30.423,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:30.943,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:31.462,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:31.983,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:32.503,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:33.022,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:33.543,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:34.063,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:34.583,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:35.103,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:35.622,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:36.143,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:36.663,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:37.182,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:37.703,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:38.224,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:38.743,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:39.263,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:39.782,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:40.303,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:40.822,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:41.343,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:41.863,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:42.382,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:42.903,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:43.423,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:43.943,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:44.463,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:44.982,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:45.503,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:46.023,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:46.542,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:47.063,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:47.582,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:48.103,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:48.623,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:49.142,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:49.663,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:50.183,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:50.703,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:51.223,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:51.742,W,0,1,0,0,0,0,0,0,0
2022-09-24 14:01:52.263,W,0,1,0,0,0,0,0,0,0
